pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,Pause_cont.started,Pause_cont.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Cali_pre,Resting_State,Fade_in_out,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,1192.7934820652008,None,1192.7708006381988,1194.7938249111176,1195.177367734909,1198.193974018097,1198.577257680893,None,1219.3783157348632,1220.395101070404,1220.7974309921265,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_002.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,1222.7623391151428,None,1222.7451406002044,1224.7620539665222,1225.1452577590942,1228.162096977234,1228.5454316616058,None,1249.3465507507324,None,1250.763188123703,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_003.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,1252.763354063034,None,1252.7466166496276,1254.763442993164,1255.1468046188354,None,1258.5843556404113,None,1279.3575306415557,None,1280.7647740840912,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_004.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,1282.7651920318604,None,1282.7481317996978,1284.7689471244812,1285.1482828140258,1289.298770904541,1289.6819177150726,None,1309.3495088100433,None,1310.7662780284882,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_005.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,1312.76824092865,None,1312.7497287273407,1314.766452074051,1315.1497626781463,None,1319.850095796585,None,1339.351010608673,None,1340.7677080631256,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_006.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,1342.7883899211884,None,1342.7551546573638,1344.7846500873566,1345.1681735992431,None,1348.801565694809,1349.8181819915771,1369.3691576004028,1370.3859479427338,1370.7859399318695,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_007.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,1372.7865118980408,None,1372.7692976474762,1374.7861049175262,1375.1694486618042,None,1378.636288690567,None,1399.3707726478576,None,1400.7874789237976,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_008.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,1402.788151025772,None,1402.7708936214447,1404.7876110076904,1405.1709797859191,None,1408.8045356750488,None,1429.3555717945098,1430.3723819255829,1430.7723779678345,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_009.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,1432.789123058319,None,1432.7656767845153,1434.7892920970917,1435.172457742691,1440.7894730567932,1441.1728356361389,None,1459.3737216472625,None,1460.7904250621796,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_010.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,1462.790621995926,None,1462.774071741104,1464.7906839847565,1465.1740146160125,1470.4576449394226,1470.8408887863159,None,1489.375177669525,None,1490.7920188903809,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_011.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,1492.7925341129303,None,1492.7754977226257,1494.7921419143677,1495.1756346702575,None,1499.4759037971496,1500.4966759681702,1519.37670378685,1520.393415927887,1520.7934379577637,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_012.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,1522.7938089370728,None,1522.7769186973571,1524.7936279773712,1525.1770368099212,1529.0938839912415,1529.477229642868,None,1549.3822706222534,None,1550.7949469089508,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_013.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,1552.7623100280762,None,1552.745211648941,1554.7618699073792,1555.145401763916,1557.6620240211487,1558.0453718185424,1559.06205701828,1579.3504157543182,None,1580.763132095337,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_014.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,1582.7632880210876,None,1582.746528673172,1584.7633879184723,1585.146723794937,None,1589.3801587104797,None,1609.347857761383,None,1610.7646589279175,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_015.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,1612.7648921012878,None,1612.7480607509613,1614.76908493042,1615.1482007980346,None,1618.4816987991333,None,1639.3493626594543,1640.3661539554596,1640.766233921051,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_016.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,1642.7668509483337,None,1642.7496386051178,1644.7971730232239,1645.14716963768,None,1648.1499805927276,None,1669.350951719284,None,1670.7676329612732,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_017.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,1672.7912740707397,None,1672.754954624176,1674.7845599651337,1675.1719027042388,None,1678.8013666152954,None,1699.3690727233886,None,1700.7565999031067,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_018.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,1702.786041021347,None,1702.7693636894226,1704.7860391139984,1705.1694517612457,1708.8863079547882,1709.2696316719055,None,1729.3706207752227,None,1730.7873120307922,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_019.wav,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
,,,,2,0,2,0,1,0,1,0,,,,,1732.803740978241,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Mär_13_1753,nibs_stage_1,3.2.3,59.99482199536268,
