pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,fade_in_text.started,fade_in_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Cali_pre,Resting_State,Fade_in_out,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_010.wav,,,,,,,,,,,,,,,,,,,,,1375.5221469402313,None,1375.4888836860657,1377.5223598480225,1377.9056796550751,1382.189337015152,1382.5725907802582,None,1402.106947851181,None,1403.5236048698425,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
,,,,0,0,0,0,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_011.wav,,,,,,,,,,,,,,,,,,,,,1405.4904570579529,None,1405.4737107276917,1407.4906339645386,1407.8738448143006,None,1411.1073157310486,1412.124167919159,1432.0584718704224,None,1433.4751119613647,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
,,,,0,0,0,0,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_012.wav,,,,,,,,,,,,,,,,,,,,,1435.5091750621796,None,1435.491860818863,1437.5087540149689,1437.8920096874238,None,1441.792200756073,None,1462.0932478427887,None,1463.5101108551025,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
,,,,0,0,0,0,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_013.wav,,,,,,,,,,,,,,,,,,,,,1465.510176897049,None,1465.4933638095856,1467.510153055191,1467.8934967041016,1470.9436469078064,1471.3270186901093,None,1492.0947668075562,1493.111398935318,1493.5114269256592,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
,,,,0,0,0,0,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_014.wav,,,,,,,,,,,,,,,,,,,,,1495.5120890140533,None,1495.4948348522187,1497.5116589069366,1497.8950128078461,None,1501.0658678531647,None,1522.096235704422,None,1523.5168290138245,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
,,,,0,0,0,0,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_015.wav,,,,,,,,,,,,,,,,,,,,,1525.5003409385681,None,1525.466964673996,1527.4964690208435,1527.8837458610535,None,1532.6800188541413,None,1552.0518898487092,None,1553.4977550506592,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
,,,,0,0,0,0,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_016.wav,,,,,,,,,,,,,,,,,,,,,1555.4980359077454,None,1555.4812788486481,1557.4979679584503,1557.8815807819367,None,1560.885409784317,None,1582.0826558589936,None,1583.4992508888245,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
,,,,0,0,0,0,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_017.wav,,,,,,,,,,,,,,,,,,,,,1585.4999568462372,None,1585.4827587127686,1587.5035018920898,1587.8828107833863,1591.6702618598938,1592.0496596813202,None,1612.0840727806092,1613.1007099151611,1613.5007259845734,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
,,,,0,0,0,0,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_018.wav,,,,,,,,,,,,,,,,,,,,,1615.501384973526,None,1615.4841737270356,1617.5009229183197,1617.8842696666718,1621.2344770431519,1621.6178466796875,1622.6385419368744,1642.0855557441712,None,1643.5022299289703,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
,,,,0,0,0,0,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_019.wav,,,,,,,,,,,,,,,,,,,,,1645.5025000572205,None,1645.4858617305756,1647.5024478435516,1647.8859557628632,None,1651.1193036556244,None,1672.103847694397,None,1673.520406961441,None,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1628,nibs_stage_1,3.2.3,59.944833027008954,
